%time,field.header.seq,field.header.stamp,field.pose.pose.position.x,field.pose.pose.position.y,field.pose.pose.position.z,field.pose.pose.orientation.x,field.pose.pose.orientation.y,field.pose.pose.orientation.z,field.pose.pose.orientation.w
1609046844989656509,0,1609046844989656509,-1.570230233483016e-04,1.321250339969993e-03,4.383189661893994e-04,1.032261028885841e-01,-9.943137168884277e-01,4.359179729362950e-05,2.616466581821442e-02
1609046845094448135,0,1609046845094448135,-2.505597658455372e-04,1.368260476738214e-03,4.351277602836490e-04,1.032432243227959e-01,-9.943113923072815e-01,9.223153028870001e-05,2.618639543652534e-02
1609046845202011305,0,1609046845202011305,1.246506348252296e-03,9.148252429440618e-04,9.006231557577848e-04,1.033035740256310e-01,-9.943052530288696e-01,1.492751034675166e-04,2.618064172565937e-02
1609046845303126386,0,1609046845303126386,1.421797205694020e-03,-4.681549035012722e-05,6.511617102660239e-04,1.032869592308998e-01,-9.943074584007263e-01,9.712411701912060e-05,2.616492100059986e-02
1609046845404481591,0,1609046845404481591,1.144529553130269e-03,-1.787845627404749e-03,7.686991011723876e-04,1.032432839274406e-01,-9.943130612373352e-01,4.786118006450124e-05,2.612248249351978e-02
1609046845506582246,0,1609046845506582246,5.471698241308331e-04,-3.332164371386170e-03,7.950516883283854e-04,1.031881868839264e-01,-9.943189024925232e-01,-1.202835665026214e-05,2.611870318651199e-02
1609046845606294133,0,1609046845606294133,1.575421774759889e-04,-4.709377884864807e-03,5.920058465562761e-04,1.031531170010567e-01,-9.943225383758545e-01,-7.937304326333106e-05,2.611847594380379e-02
1609046845678925555,0,1609046845678925555,-1.740743755362928e-04,-4.945622757077217e-03,5.600789445452392e-04,1.031316369771957e-01,-9.943247437477112e-01,-1.468538102926686e-04,2.611831948161125e-02
1609046845786434210,0,1609046845786434210,1.264567836187780e-03,-4.490552935749292e-03,7.894320151535794e-05,1.032120808959007e-01,-9.943161606788635e-01,-2.282350396853872e-05,2.613022178411484e-02
1609046845884843356,0,1609046845884843356,2.445299178361893e-04,-5.205784924328327e-03,1.301752054132521e-04,1.031880974769592e-01,-9.943177103996277e-01,7.326839840970933e-05,2.616167441010475e-02
1609046845987732007,0,1609046845987732007,7.238115649670362e-04,-4.563754890114069e-03,-3.875708498526365e-04,1.032162532210350e-01,-9.943147301673889e-01,1.308619630435714e-05,2.616569027304649e-02
1609046846089136373,0,1609046846089136373,6.848892662674189e-04,-4.112945403903723e-03,-1.998888328671455e-04,1.032523810863495e-01,-9.943115711212158e-01,5.333185981726274e-05,2.614270336925983e-02
1609046846191337737,0,1609046846191337737,1.275478163734078e-03,-3.633105196058750e-03,1.697854604572058e-04,1.032682359218597e-01,-9.943098425865173e-01,1.070923972292803e-04,2.614660561084747e-02
