%time,field.header.seq,field.header.stamp,field.pose.pose.position.x,field.pose.pose.position.y,field.pose.pose.position.z,field.pose.pose.orientation.x,field.pose.pose.orientation.y,field.pose.pose.orientation.z,field.pose.pose.orientation.w
1609045334452975290,0,1609045334452975290,5.764219094999135e-04,6.008992786519229e-04,1.027032616548240e-03,-1.831367313861847e-01,-9.828890562057495e-01,6.656495679635555e-05,1.975210569798946e-02
1609045334550630412,0,1609045334550630412,9.758740197867155e-04,3.006097394973040e-04,1.372727565467358e-03,-1.831275820732117e-01,-9.828909039497375e-01,9.304445848101750e-05,1.974428817629814e-02
1609045334651002226,0,1609045334651002226,-8.461457036901265e-05,6.639985367655754e-04,1.023300923407078e-03,-1.831286251544952e-01,-9.828904867172241e-01,1.087768105207942e-04,1.975523680448532e-02
1609045334770676777,0,1609045334770676777,-5.899816751480103e-04,3.414379316382110e-04,4.394926363602281e-04,-1.830711215734482e-01,-9.829007387161255e-01,1.626198936719447e-04,1.977853477001190e-02
1609045334858376680,0,1609045334858376680,-2.684255596250296e-04,1.757130376063287e-04,4.049076233059168e-05,-1.831652373075485e-01,-9.828839898109436e-01,4.028767580166459e-05,1.973939500749111e-02
1609045334975103031,0,1609045334975103031,-1.263301121070981e-03,-7.299527351278812e-05,-7.098255446180701e-04,-1.831047385931015e-01,-9.828945994377136e-01,1.294236717512831e-04,1.977092958986759e-02
1609045335063749250,0,1609045335063749250,-2.336139092221856e-03,6.630294956266880e-05,-1.972676254808903e-04,-1.832074522972107e-01,-9.828764200210571e-01,-7.696834472881164e-06,1.972343586385250e-02
1609045335149571649,0,1609045335149571649,-2.857242245227098e-03,2.960826968774199e-04,-1.396041829138994e-03,-1.832552254199982e-01,-9.828680753707886e-01,-1.966221316251904e-05,1.969682238996029e-02
1609045335242459132,0,1609045335242459132,-2.220207825303078e-03,3.618498740252107e-04,-1.109392847865820e-03,-1.832026839256287e-01,-9.828783273696899e-01,1.920653448905796e-05,1.967531815171242e-02
1609045335359302281,0,1609045335359302281,-4.837568849325180e-04,7.506143883801997e-04,-1.153860939666629e-03,-1.831705868244171e-01,-9.828835129737854e-01,8.579438872402534e-05,1.971334405243397e-02
